fecha,AAPL.close,variacion_precio,AAPL.volume,mes,year,dia,mes_year
2023-03-28,157.64999389648438,0.9960196810230523,45992200,3,2023,87,3-2023
2023-03-29,160.77000427246094,1.0197907421298424,51305700,3,2023,88,3-2023
2023-03-30,162.36000061035156,1.009889881791606,49501700,3,2023,89,3-2023
2023-03-31,164.89999389648438,1.015644205941022,68749800,3,2023,90,3-2023
2023-04-03,166.1699981689453,1.0077016635504437,56976200,4,2023,93,4-2023
2023-04-04,165.6300048828125,0.9967503563093032,46278300,4,2023,94,4-2023
2023-04-05,163.75999450683594,0.9887097124865772,51511700,4,2023,95,4-2023
2023-04-06,164.66000366210938,1.0054959036728344,45390100,4,2023,96,4-2023
2023-04-10,162.02999877929688,0.9840276641302074,47716900,4,2023,100,4-2023
2023-04-11,160.8000030517578,0.9924088394938863,47644200,4,2023,101,4-2023
2023-04-12,160.10000610351562,0.9956467852303655,50133100,4,2023,102,4-2023
2023-04-13,165.55999755859375,1.0341036305242104,68445600,4,2023,103,4-2023
2023-04-14,165.2100067138672,0.9978860180605964,49386500,4,2023,104,4-2023
2023-04-17,165.22999572753906,1.0001209915432452,41516200,4,2023,107,4-2023
2023-04-18,166.47000122070312,1.0075047238711354,49923000,4,2023,108,4-2023
2023-04-19,167.6300048828125,1.0069682444500705,47720200,4,2023,109,4-2023
2023-04-20,166.64999389648438,0.994153725718655,52456400,4,2023,110,4-2023
2023-04-21,165.02000427246094,0.9902190838060522,58337300,4,2023,111,4-2023
2023-04-24,165.3300018310547,1.0018785453312795,41949600,4,2023,114,4-2023
2023-04-25,163.77000427246094,0.9905643407650363,48714100,4,2023,115,4-2023
2023-04-26,163.75999450683594,0.9999388791270448,45498800,4,2023,116,4-2023
2023-04-27,168.41000366210938,1.0283952693652498,64902300,4,2023,117,4-2023
2023-04-28,169.67999267578125,1.0075410544864065,55209200,4,2023,118,4-2023
2023-05-01,169.58999633789062,0.9994696113756759,52472900,5,2023,121,5-2023
2023-05-02,168.5399932861328,0.993808579076411,48425700,5,2023,122,5-2023
2023-05-03,167.4499969482422,0.993532714006698,65136000,5,2023,123,5-2023
2023-05-04,165.7899932861328,0.9900865709623007,81235400,5,2023,124,5-2023
2023-05-05,173.57000732421875,1.0469269217271673,113316400,5,2023,125,5-2023
2023-05-08,173.5,0.999596662319153,55962800,5,2023,128,5-2023
2023-05-09,171.77000427246094,0.9900288430689391,45326900,5,2023,129,5-2023
2023-05-10,173.55999755859375,1.0104208723386507,53724500,5,2023,130,5-2023
2023-05-11,173.75,1.0010947363682816,49514700,5,2023,131,5-2023
2023-05-12,172.57000732421875,0.9932086752473022,45497800,5,2023,132,5-2023
2023-05-15,172.07000732421875,0.9971026251447007,37266700,5,2023,135,5-2023
2023-05-16,172.07000732421875,1,42110300,5,2023,136,5-2023
2023-05-17,172.69000244140625,1.0036031562201266,57951600,5,2023,137,5-2023
2023-05-18,175.0500030517578,1.0136661102379236,65496700,5,2023,138,5-2023
2023-05-19,175.16000366210938,1.0006283953638038,55772400,5,2023,139,5-2023
2023-05-22,174.1999969482422,0.9945192584277455,43570900,5,2023,142,5-2023
2023-05-23,171.55999755859375,0.9848450089787727,50747300,5,2023,143,5-2023
2023-05-24,171.83999633789062,1.001632074978325,45143500,5,2023,144,5-2023
2023-05-25,172.99000549316406,1.0066923253013353,56058300,5,2023,145,5-2023
2023-05-26,175.42999267578125,1.0141047870116033,54835000,5,2023,146,5-2023
2023-05-30,177.3000030517578,1.0106595819075965,55964400,5,2023,150,5-2023
2023-05-31,177.25,0.9997179748962373,99625300,5,2023,151,5-2023
2023-06-01,180.08999633789062,1.016022546335067,68901800,6,2023,152,6-2023
2023-06-02,180.9499969482422,1.004775393568991,61945900,6,2023,153,6-2023
2023-06-05,179.5800018310547,0.992428874604627,121946500,6,2023,156,6-2023
2023-06-06,179.2100067138672,0.9979396641418036,64848400,6,2023,157,6-2023
2023-06-07,177.82000732421875,0.9922437400950062,61944600,6,2023,158,6-2023
2023-06-08,180.57000732421875,1.0154650764072117,50214900,6,2023,159,6-2023
2023-06-09,180.9600067138672,1.0021598237460787,48870700,6,2023,160,6-2023
2023-06-12,183.7899932861328,1.0156387404247855,54274900,6,2023,163,6-2023
2023-06-13,183.30999755859375,0.9973883467812539,54929100,6,2023,164,6-2023
2023-06-14,183.9499969482422,1.0034913501618692,57462900,6,2023,165,6-2023
2023-06-15,186.00999450683594,1.0111986822113042,65433200,6,2023,166,6-2023
2023-06-16,184.9199981689453,0.9941401195092742,101235600,6,2023,167,6-2023
2023-06-20,185.00999450683594,1.0004866771511018,49799100,6,2023,171,6-2023
2023-06-21,183.9600067138672,0.9943246969129014,49515700,6,2023,172,6-2023
2023-06-22,187,1.0165252944943692,51245300,6,2023,173,6-2023
2023-06-23,186.67999267578125,0.9982887308865307,53079300,6,2023,174,6-2023
2023-06-26,185.27000427246094,0.9924470298980077,48088700,6,2023,177,6-2023
2023-06-27,188.05999755859375,1.015059066345299,50730800,6,2023,178,6-2023
2023-06-28,189.25,1.0063277807979099,51216800,6,2023,179,6-2023
2023-06-29,189.58999633789062,1.001796546039052,46347300,6,2023,180,6-2023
2023-06-30,193.97000122070312,1.0231025105090796,85069600,6,2023,181,6-2023
2023-07-03,192.4600067138672,0.9922153193930342,31458200,7,2023,184,7-2023
2023-07-05,191.3300018310547,0.9941286249434019,46920300,7,2023,186,7-2023
2023-07-06,191.80999755859375,1.002508732153585,45094300,7,2023,187,7-2023
2023-07-07,190.67999267578125,0.9941087279224468,46778000,7,2023,188,7-2023
2023-07-10,188.61000061035156,0.9891441569910832,59922200,7,2023,191,7-2023
2023-07-11,188.0800018310547,0.9971899751997149,46638100,7,2023,192,7-2023
2023-07-12,189.77000427246094,1.0089855509621077,60750200,7,2023,193,7-2023
2023-07-13,190.5399932861328,1.00405748535773,41342300,7,2023,194,7-2023
2023-07-14,190.69000244140625,1.0007872843526775,41573900,7,2023,195,7-2023
2023-07-17,193.99000549316406,1.0173055902748327,50520200,7,2023,198,7-2023
2023-07-18,193.72999572753906,0.9986596744251643,48353800,7,2023,199,7-2023
2023-07-19,195.10000610351562,1.0070717514385503,80507300,7,2023,200,7-2023
2023-07-20,193.1300048828125,0.9899026081031598,59581200,7,2023,201,7-2023
2023-07-21,191.94000244140625,0.9938383347417802,71917800,7,2023,202,7-2023
2023-07-24,192.75,1.004220055998181,45377800,7,2023,205,7-2023
2023-07-25,193.6199951171875,1.0045135933446823,37283200,7,2023,206,7-2023
2023-07-26,194.5,1.0045450103553606,47471900,7,2023,207,7-2023
2023-07-27,193.22000122070312,0.9934190294123554,47460200,7,2023,208,7-2023
2023-07-28,195.8300018310547,1.0135079215084484,48291400,7,2023,209,7-2023
2023-07-31,196.4499969482422,1.0031659863728255,38824100,7,2023,212,7-2023
2023-08-01,195.61000061035156,0.9957241214001549,35175100,8,2023,213,8-2023
